time,Display&DV360_impression,Google_Search_impression,Meta_Ads_impression,Newspaper_impression,OOH_impression,Radio_impression,TikTok_Ads_impression,TV_&_Offline_impression,YouTube_Ads_impression,Display&DV360_spend,Google_Search_spend,Meta_Ads_spend,Newspaper_spend,OOH_spend,Radio_spend,TikTok_Ads_spend,TV_&_Offline_spend,YouTube_Ads_spend,GQV,conversions
2022-01-19,66466.8,127924.5,31927.7,17587.8,200976.5,161166,35120.4,193399.2,76436.9,473.4,938,307.8,130693.5,1566.2,1255.8,473.4,938,307.8,-51298.7,1262375.6
2022-01-20,5829.7,11220.1,2800.3,1542.6,17627.4,14135.6,3080.4,16962.8,6704.2,41.5,82.3,27,11462.9,137.4,110.1,41.5,82.3,27,-4499.3,110721.2
2022-01-21,14859.8,28599.8,7138,3932.1,44931.8,36031.5,7851.8,43237.8,17088.8,105.8,209.7,68.8,29218.8,350.1,280.8,105.8,209.7,68.8,-11468.7,282226.1
2022-01-22,27662,53239.3,13287.6,7319.6,83641.9,67073.6,14616.3,80488.4,31811.3,197,390.4,128.1,54391.7,651.8,522.6,197,390.4,128.1,-21349.4,525372.2
2022-01-23,52438.3,100924.7,25189,13875.7,158558.3,127150.2,27707.9,152580.2,60304.1,373.5,740.1,242.9,103109.3,1235.6,990.7,373.5,740.1,242.9,-40471.6,995938.1
2022-01-24,17963.1,34572.4,8628.7,4753.2,54315.2,43556.2,9491.5,52267.4,20657.6,127.9,253.5,83.2,35320.8,423.3,339.4,127.9,253.5,83.2,-13863.8,341165.3
2022-01-25,14697.1,28286.5,7059.8,3889,44439.7,35636.9,7765.8,42764.2,16901.6,104.7,207.4,68.1,28898.8,346.3,277.7,104.7,207.4,68.1,-11343.1,279135.2
2022-01-26,35634.1,57608.6,43854.6,8276.6,105638.4,35706.5,48240.1,42847.8,40979.2,253.8,422.4,422.8,61.5,823.2,278.2,253.8,422.4,422.8,-42237.7,539018.6
2022-01-27,8372.7,13535.9,10304.2,1944.7,24821.1,8389.7,11334.6,10067.7,9628.6,59.6,99.3,99.3,14.5,193.4,65.4,59.6,99.3,99.3,-9924.3,126649.4
2022-01-28,30224.1,48862.3,37196.5,7020.1,89600.2,30285.5,40916.2,36342.6,34757.7,215.3,358.3,358.6,52.2,698.2,236,215.3,358.3,358.6,-35825.1,457183.7
2022-01-29,83559.5,135088.2,102836,19408.1,247714.7,83729.3,113119.6,100475.2,96093.4,595.1,990.6,991.5,144.2,1930.4,652.4,595.1,990.6,991.5,-99044.4,1263961.2
2022-01-30,62989.5,101833.3,77520.7,14630.4,186734.4,63117.5,85272.8,75741,72437.9,448.6,746.7,747.4,108.7,1455.2,491.8,448.6,746.7,747.4,-74662.5,952809.9
2022-01-31,8492.4,13729.3,10451.5,1972.5,25175.8,8509.6,11496.6,10211.5,9766.2,60.5,100.7,100.8,14.7,196.2,66.3,60.5,100.7,100.8,-10066.1,128459.4
