time,Display&DV360_impression,Google_Search_impression,Meta_Ads_impression,Newspaper_impression,OOH_impression,Radio_impression,TikTok_Ads_impression,TV_&_Offline_impression,YouTube_Ads_impression,Display&DV360_spend,Google_Search_spend,Meta_Ads_spend,Newspaper_spend,OOH_spend,Radio_spend,TikTok_Ads_spend,TV_&_Offline_spend,YouTube_Ads_spend,GQV,conversions
2022-01-25,19991690,38476736,9603101,5289998,60449088,48474992,10563411.1,58169990.4,22990443.5,1.423.855.469,282139.25,9.258.572.656,3.930.957.422,4.710.700.938,3.777.128.438,1.018.442.992,4.532.554.126,1.637.433.789,-15.429.455,379693376
2022-02-01,23622048,38189068,29071472,5486623,70028312,23670058,31978619.2,28404069.6,27165355.2,1.682.418.125,280.029.875,2.802.847.813,4.077.067.969,5.457.194.375,184435,3.083.132.594,221322,1.934.780.844,-27.999.588,357318528
2022-02-08,10424717,26002412,22365226,3733493,64427360,18212816,24601748.6,21855379.2,11988424.55,7.424.729.688,1.906.684.844,2.156.283.281,2.774.330.469,5.020.721.563,1.419.126.563,2.371.911.609,1.702.951.876,8.538.439.141,8.193.204,414199072
2022-02-15,8759366,33339992,10204184,2750636,64897760,34636508,11224602.4,41563809.6,10073270.9,6.238.627.344,2.444.729.375,9.838.089.844,2.043.976.758,5.057.379.063,2.698.845.938,1.082.189.883,3.238.615.126,7.174.421.446,-45.229.483,407065536
2022-02-22,7939900,39560712,16614522,6948601,74484144,51604624,18275974.2,61925548.8,9130885,5.654.984.375,290087.75,1.601.844.531,5.163.452.734,5.804.430.625,4.020.986.563,1.762.028.984,4.825.183.876,6.503.232.031,-36.169.126,343760224
2022-03-01,12719656,29728292,18775036,3668056,56874128,25895044,20652539.6,31074052.8,14627604.4,9.059.239.063,2.179.893.438,1.810.144.531,2.725.704.688,443211,2.017.718.906,1.991.158.984,2.421.262.687,1.041.812.492,68.304.796,425020128
2022-03-08,10175480,16726621,4175250,5267114,56794240,31596464,4592775,37915756.8,11701802,7.247.217.188,1.226.516.797,4.025.455.469,3.913.952.734,4.425.884.688,2.461.968.594,4.428.001.016,2.954.362.313,8.334.299.766,-36.659.042,457814240
2022-03-15,9228013,20750096,15662083,3664954,58168536,31948738,17228291.3,38338485.6,10612214.95,6.572.408.594,1.521.547.031,1.510.017.656,2.723.399.609,453.298.125,2.489.417.344,1.661.019.422,2.987.300.813,7.558.269.883,-4.955.491,400064736
2022-03-22,31374038,27839050,27382724,6208628,63762544,56171560,30120996.4,67405872,36080143.7,2.234.533.125,2.041.360.469,2.640.031.875,4.613.584.375,4.968.913.438,4.376.838.125,2.904.035.063,525.220.575,2.569.713.094,31.338.566,338602496
2022-03-29,18557888,44172400,17686084,10487752,51132600,29747286,19454692.4,35696743.2,21341571.2,1.321.736.563,323904,170.515.625,7.793.369.531,3.984.681.875,2.317.882.188,1.875.671.875,2.781.458.626,1.519.997.047,38.498.714,357265696
