time,Display&DV360_impression,Google_Search_impression,Meta_Ads_impression,Newspaper_impression,OOH_impression,Radio_impression,TikTok_Ads_impression,TV_&_Offline_impression,YouTube_Ads_impression,Display&DV360_spend,Google_Search_spend,Meta_Ads_spend,Newspaper_spend,OOH_spend,Radio_spend,TikTok_Ads_spend,TV_&_Offline_spend,YouTube_Ads_spend,GQV,conversions
2022-01-25,19991690.0,38476736.0,9603101.0,5289998.0,60449090.0,48474990.0,10563411.1,58169990.4,22990443.5,142385.55,282139.25,92585.73,39.309.574,471070.1,377712.84,1018442992,4532554126,1637433789,-15429455,379693376
2022-02-01,23622048.0,38189068.0,29071472.0,5486623.0,70028310.0,23670058.0,31978619.2,28404069.6,27165355.2,168241.81,280029.88,280284.78,40770.68,545719.44,184435.0,3083132594,221322,1934780844,-27999588,357318528
2022-02-08,10424717.0,26002412.0,22365226.0,3733493.0,64427360.0,18212816.0,24601748.6,21855379.2,11988424.55,74247.3,190668.48,215628.33,27.743.305,502072.16,141912.66,2371911609,1702951876,8538439141,8193204,414199072
2022-02-15,8759366.0,33339992.0,10204184.0,2750636.0,64897760.0,34636508.0,11224602.4,41563809.6,10073270.9,62.386.273,244472.94,98380.9,20.439.768,505737.9,269884.6,1082189883,3238615126,7174421446,-45229483,407065536
2022-02-22,7939900.0,39560710.0,16614522.0,6948601.0,74484140.0,51604624.0,18275974.2,61925548.8,9130885,56.549.844,290087.75,160184.45,51.634.527,580443.06,402098.66,1762028984,4825183876,6503232031,-36169126,343760224
2022-03-01,12719656.0,29728292.0,18775036.0,3668056.0,56874130.0,25895044.0,20652539.6,31074052.8,14627604.4,90592.39,217989.34,181014.45,27.257.047,443211.0,201771.89,1991158984,2421262687,1041812492,68304796,425020128
2022-03-08,10175480.0,16726621.0,4175250.0,5267114.0,56794240.0,31596464.0,4592775,37915756.8,11701802,72472.17,122651.68,40.254.555,39.139.527,442588.47,246196.86,4428001016,2954362313,8334299766,-36659042,457814240
2022-03-15,9228013.0,20750096.0,15662083.0,3664954.0,58168536.0,31948738.0,17228291.3,38338485.6,10612214.95,65.724.086,152154.7,151001.77,27.233.996,453298.12,248941.73,1661019422,2987300813,7558269883,-4955491,400064736
2022-03-22,31374038.0,27839050.0,27382724.0,6208628.0,63762544.0,56171560.0,30120996.4,67405872,36080143.7,223453.31,204136.05,264003.2,46.135.844,496891.34,437683.8,2904035063,525220575,2569713094,31338566,338602496
2022-03-29,18557888.0,44172400.0,17686084.0,10487752.0,51132600.0,29747286.0,19454692.4,35696743.2,21341571.2,132173.66,323904.0,170515.62,77.933.695,398468.2,231788.22,1875671875,2781458626,1519997047,38498714,357265696
2022-04-05,12511631.0,16756488.0,14206083.0,15027391.0,76760220.0,31870036.0,15626691.3,38244043.2,14388375.65,89110.8,122870.69,136964.14,111667.41,598180.2,248328.5,1506605547,297994.2,1024774164,5263482,411695776
2022-04-12,17360364.0,10375189.0,21193138.0,7124868.0,57808750.0,38976104.0,23312451.8,46771324.8,19964418.6,123644.61,76078.39,204327.95,52.944.355,450494.38,303698.34,2247607484,3644380126,1421913008,-14317181,387659648
2022-04-19,4080494.0,18370510.0,9509602.0,974793.0,33523544.0,23562268.0,10460562.2,28274721.6,4692568.1,29.062.242,134705.86,91684.27,72.436.133,261243.62,183595.12,1008527008,220314.15,3342157852,-5696041,437840224
2022-04-26,7909701.0,27913252.0,21419960.0,0.0,46684136.0,21036800.0,23561956,25244160,9096156.15,56.334.758,204680.16,206514.81,0.0,363802.03,163916.89,2271662938,1967002687,6478497148,-9418987,439090592
2022-05-03,20257644.0,38888200.0,4884707.0,5464232.0,68897980.0,41336336.0,5373177.7,49603603.2,23296290.6,144279.72,285156.4,47094.59,40.604.293,536911.0,322089.1,5180404882,3865069126,1659216766,55869827,398970624
2022-05-10,24294858.0,7687753.0,26558400.0,7084090.0,94815140.0,36720050.0,29214240,44064057.6,27939086.7,173033.72,56.372.164,256055.69,52.641.336,738879.25,286119.34,2816612563,3433432126,1989887766,21109615,404387072
2022-05-17,23573932.0,22719016.0,34341784.0,8955882.0,75578250.0,26295944.0,37775962.4,31555132.8,27110021.8,167899.12,166592.27,331097.06,66.550.484,588969.25,204895.67,3642067688,2458748063,1930839938,22963402,392051264
2022-05-24,8055875.0,27026676.0,7092835.0,376280.0,38058736.0,10235384.0,7802118.5,12282460.8,9264256.25,57.375.844,198179.12,68.383.664,27.961.082,296585.66,79753.21,7522203047,9570385313,6598222031,-21600103,433768448
2022-05-31,6713915.0,28780088.0,20740160.0,3141764.0,56567724.0,36033136.0,22814176,43239763.2,7721002.25,47818.09,211036.42,199960.69,23346.21,440823.25,280767.03,2199567563,3369204376,5499080332,21768913,395985312
2022-06-07,28918084.0,25946246.0,26565046.0,7624302.0,90121650.0,32941154.0,29221550.6,39529384.8,33255796.6,205961.42,190256.62,256119.75,56.655.613,702303.6,256674.56,281731725,308009475,2368556352,-68363557,428536480
2022-06-14,18784296.0,29024816.0,15781614.0,6489863.0,64598080.0,54502040.0,17359775.4,65402448,21601940.4,133786.19,212830.95,152154.2,48225.68,503402.56,424675.1,1673696234,5096101126,1538541156,-16715084,379184352
2022-06-21,12339584.0,38099430.0,23515584.0,3657618.0,47386308.0,35837256.0,25867142.4,43004707.2,14190521.6,87885.43,279372.6,226719.19,27.179.482,369273.94,279240.72,2493911063,3350888626,1010682441,16752012,393646208
2022-06-28,25468648.0,29628092.0,14107558.0,11653333.0,77982670.0,47587216.0,15518313.8,57104659.2,29288945.2,181393.73,217254.6,136014.23,86595.04,607706.5,370795.38,1496156578,444954.45,2086027946,13767681,357142080
2022-07-05,33235190.0,33946796.0,13279980.0,6341618.0,68614170.0,48322244.0,14607978,57986692.8,38220468.5,236708.88,248922.45,128035.36,47.124.086,534699.3,376522.66,1408388953,4518271876,2722152063,28638868,418816672
2022-07-12,4090087.0,18009128.0,9362647.0,1359074.0,37836624.0,20291788.0,10298911.7,24350145.6,4703600.05,29.130.566,132055.94,90.267.445,10.099.177,294854.75,158111.81,9929418984,189734175,3350015137,-39979168,415547552
2022-07-19,3182931.0,6964611.0,14230343.0,750206.0,43763390.0,24085832.0,15653377.3,28902998.4,3660370.65,22.669.586,51.069.562,137198.03,55.747.246,341041.12,187674.66,1509178344,2252095876,2607002383,-32211338,415660064
2022-07-26,22068976.0,12855972.0,34907024.0,11603802.0,46718252.0,37858510.0,38397726.4,45430214.4,25379322.4,157180.47,94269.29,336546.72,86226.98,364067.9,294990.2,3702013907,353988225,1807575391,-46819473,409616544
2022-08-02,17381132.0,24123508.0,23505728.0,18877442.0,60123110.0,36259030.0,25856300.8,43510838.4,19988301.8,123792.53,176891.0,226624.17,140276.84,468529.8,282527.2,2492865891,339032625,142361411,-13513439,364261568
2022-08-09,13128744.0,54470436.0,13606890.0,15488832.0,108091880.0,35915416.0,14967579,43098499.2,15098055.6,93.506.016,399416.62,131187.17,115.096.336,842342.8,279849.75,1443058891,335819.7,107531918,13916221,369517120
2022-08-16,9876712.0,15353880.0,13385169.0,429554.0,63510116.0,24464296.0,14723685.9,29357155.2,11358218.8,70344.28,112585.75,129049.51,31.919.832,494924.2,190623.64,1419544586,2287483687,8089592344,-16188688,448275456
2022-08-23,13139519.0,28220544.0,29176668.0,615208.0,72291304.0,41703410.0,32094334.8,50044089.6,15110446.85,93582.76,206933.44,281299.03,4.571.564,563354.6,324949.25,3094289344,389939.1,1076201715,1059182,362465664
